"sku","part_type","attribute_set","type","visibility","status","name","description","manufacturer","part_number","part_number_short","categories","ti_part_sku","interchanges","bill_of_materials","price","quantity","turbo_model","turbo_type","image","media_gallery","kit_type","gasket_type","seal_type","cool_type","turbo_model_name","finder:1","bearing_type","bore_oe","compressor_housing_diameter","compressor_wheel_diameter","design_features","exduce_oa","exducer_oc","hub_length_d","i_gap_max","i_gap_min","inducer_diameter","inducer_oa","inducer_oc","inside_diameter","inside_diameter_max","inside_diameter_min","journal_od","number_of_blades","oil","oil_inlet","oil_outlet","outlet_flange_holes","outside_diameter_max","outside_diameter_min","outside_dim_max","outside_dim_min","overall_diameter","overall_height","oversize_id","piston_ring_diameter","secondary_diameter","shaft_thread_f","standard_size_id","stem_oe","style_compressor_wheel","tip_height_b","water_ports","width_max","width_min","customerprice","group_price:ERP_PL_0","group_price:ERP_PL_1","group_price:ERP_PL_2","group_price:ERP_PL_3","group_price:ERP_PL_4","group_price:ERP_PL_5","group_price:ERP_PL_E","group_price:ERP_PL_R","group_price:ERP_PL_W","tier_price:ERP_PL_0","tier_price:ERP_PL_1","tier_price:ERP_PL_2","tier_price:ERP_PL_3","tier_price:ERP_PL_4","tier_price:ERP_PL_5","tier_price:ERP_PL_E","tier_price:ERP_PL_R","tier_price:ERP_PL_W","application"
"1","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","700177-0001","7001770001","Manufacturer/Garrett;;Part Type/cartridge","","","","","","GT30BB","GT30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","444378-0001","4443780001","Manufacturer/Garrett;;Part Type/cartridge","","","[{""sku"":42160,""quantity"":1,""ti_part_sku"":[42769]}]","","","TL7804","TL78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","447450-0026","4474500026","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TO4E11","TO4E","","","","","","","","DAF,1990,FA65.180","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","DAF,1990,FA65.180"
"4","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Garrett","441398-0102","4413980102","Manufacturer/Garrett;;Part Type/cartridge","","","","","","TA5101","TA51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","141059","141059","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","4D355","4D","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","315049","315049","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S3A","S3A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Schwitzer","318855","318855","Manufacturer/Schwitzer;;Part Type/cartridge","","","","","","S2BG","S2BG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","KKK","5327-710-0104","53277100104","Manufacturer/KKK;;Part Type/cartridge","","","","","","K27-2964MXA/17.22","K27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","55051","55051","Manufacturer/Holset;;Part Type/cartridge","","","","","","4LGV504/3.25,4LGK414/3.25,4LGV504/4.00","4LGV,4LGK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","cartridge","Cartridge","simple","Catalog, Search","Enabled","","","Holset","22587","22587","Manufacturer/Holset;;Part Type/cartridge","","","","","","4-350/190","4""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
