id	part	cd_water_cooled	cd_ce_dia_a	cd_ce_dia_a_tol	cd_ce_dia_b	cd_ce_dia_b_tol	cd_ce_dia_c	cd_ce_dia_c_tol	cd_cwc_dia	cd_cwc_dia_tol	cd_bore_dia_max	cd_bore_dia_min	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd_single_dual_oil_feed	cd_spinning_bearing	cd_oil_inlet_thread	cd_oil_drain_thread	cd_oil_drain_flange_thread	cd_coolant_port_thread_1	cd_coolant_port_thread_2	cd_te_dia_d	cd_te_dia_d_tol	cd_te_dia_e	cd_te_dia_e_tol	cd_te_dia_f	cd_te_dia_f_tol	cd_arm_angle	cd_quadrant	cd_oal	cd_oal_tol	cd_weight	cd_diagram_	cd_oil_inlet_flange_thread	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len
1	4-A-0323	0	3.128	0.002	2.685	0.005	2.358	0.008	-99.000	-99.000	0.6223	0.6220	0.710	0.001	19721	1	21053	20411	20925	20411	20411	3.185	0.001	2.330	0.010	NULL	NULL	-99.0	21065	2.546	0.002	1267.8	1	20925	30.0	0.060
2	4-A-0823	1	3.127	0.001	2.685	0.005	2.354	0.005	-99.000	-99.000	0.6223	0.6220	0.710	0.001	19721	1	21053	20411	20925	20991	20411	3.183	0.005	NULL	NULL	NULL	NULL	-99.0	21065	2.544	0.005	1350.3	1	20925	30.0	0.060
3	4-A-1081	1	3.744	0.005	3.430	0.005	2.052	0.005	-99.000	-99.000	0.5469	0.5465	0.625	0.001	19721	1	20603	20411	20925	20975	20411	2.676	0.005	NULL	NULL	1.780	0.010	-99.0	21065	2.708	0.005	NULL	2	20411	30.0	0.040
4	4-A-1082	1	3.344	0.005	3.056	0.005	-99.000	-99.000	1.918	0.005	0.5467	0.5464	0.625	0.002	19721	1	20603	20803	20411	20975	20411	2.676	0.005	2.325	0.005	0.850	0.010	-99.0	21065	2.705	0.005	1075.6	NULL	20411	NULL	NULL
5	4-A-1084	1	3.415	0.005	3.053	0.005	-99.000	-99.000	1.920	0.005	0.5490	0.5470	0.627	0.001	19721	1	20939	20411	20925	20975	20411	2.677	NULL	2.363	0.005	1.932	0.005	-99.0	21065	2.710	0.005	NULL	NULL	20411	NULL	NULL
6	4-A-1085	1	3.344	0.005	3.056	0.005	-99.000	-99.000	1.918	0.005	0.5467	0.5464	0.624	0.001	19721	1	20939	20411	20925	20975	20411	2.676	0.005	2.330	0.010	1.750	0.010	-99.0	21065	2.708	0.005	1031.2	NULL	20411	NULL	NULL
7	4-A-1087	1	3.344	0.005	3.056	0.005	-99.000	-99.000	1.918	0.005	0.5467	0.5464	0.625	0.005	19721	1	20963	20411	20925	20975	20411	2.676	0.005	2.325	0.005	1.823	NULL	-99.0	21065	2.708	0.005	NULL	NULL	20411	NULL	NULL
8	4-A-1088	0	3.344	0.005	3.056	0.005	-99.000	-99.000	1.918	0.005	0.5469	0.5465	0.625	0.001	19721	1	20603	20803	20411	20411	20411	2.676	0.005	NULL	NULL	1.780	0.010	-99.0	21065	2.699	0.005	967.3	NULL	20411	30.0	0.040
9	4-A-1090	1	3.344	0.005	3.056	0.005	-99.000	-99.000	1.918	0.005	0.5467	0.5464	0.625	0.002	19721	1	20603	20803	20411	20975	20411	2.676	0.005	2.325	0.005	1.802	NULL	-99.0	21065	2.708	0.005	1031.7	NULL	20411	NULL	NULL
10	4-A-1091	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
