id	part	cd_inducer_diameter_a	cd_inducer_diameter_a_tol	cd_exducer_diameter_b	cd_exducer_diameter_b_tol	cd_rotation	cd_overall_height_c	cd_tip_height_d	cd_tip_height_d_tol	cd_platform_height_e	cd_extended_tips	cd_platform_diameter_f	cd_platform_diameter_f_tol	cd_threaded_bore	cd_boreless	cd_thread_callout	cd_thread_hand	cd_max_bore_diameter	cd_min_bore_diameter	cd_nose_diameter_g	cd_foot_diameter_h	cd_flatback_superback	cd_blade_height	cd_blade_count	cd_weight	cd_platform_thickness	cd_platform_thickness_tol	cd_tip_location	cd_tip_location_tol	cd_diagram_	cd_platform_height_tol
1	3-A-0277	1.829	0.002	2.366	0.005	20336	1.26	0.236	0.004	0.147	0	2.366	0.005	0	0	20411	20401	0.2502	0.2498	NULL	0.787	20368	0.9	6	56.2	0.039	0.002	0.383	0.002	1	0.002
2	3-A-0278	1.595	0.002	2.366	0.005	20336	1.26	0.203	0.004	0.147	0	2.366	0.005	0	0	20411	20401	0.2502	0.2498	0.60	0.787	20368	0.9	6	53.0	0.039	0.002	0.350	0.002	1	0.002
3	3-A-0279	1.756	0.002	2.366	0.005	20336	1.26	0.240	0.004	0.146	0	2.366	0.005	0	0	20411	20401	0.2502	0.2498	NULL	0.787	20368	0.9	6	53.0	0.039	0.002	0.386	0.002	1	0.002
4	3-A-0280	NULL	0.002	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	0.002
5	3-A-0281	1.485	0.002	2.366	0.005	20336	1.26	0.173	0.004	0.147	0	2.366	0.005	0	0	20411	20401	0.2502	0.2498	0.60	0.790	20368	0.9	6	55.3	0.039	0.002	0.320	0.002	1	0.002
6	3-A-0283	1.674	0.002	2.366	0.005	20336	1.26	0.197	0.004	0.147	0	2.366	0.005	0	0	20411	20401	0.2502	0.2498	0.60	0.787	20368	0.9	6	54.2	0.039	0.002	0.344	0.002	1	0.002
7	3-A-0760	1.921	0.002	2.713	0.005	20336	1.26	0.221	0.004	0.146	0	2.713	0.005	0	0	20411	20401	0.2502	0.2498	NULL	0.596	20368	1.1	7	87.3	0.042	0.002	0.367	0.002	1	0.002
8	3-A-1053	1.566	0.002	2.025	0.005	20336	0.97	0.249	0.004	0.095	0	2.025	0.005	0	0	20411	20401	0.2365	0.2362	0.52	0.560	20368	0.7	6	35.0	0.039	0.002	0.344	0.002	1	0.002
9	3-A-1075	1.267	0.002	1.891	0.005	20336	0.97	0.171	0.004	0.097	0	1.891	0.005	0	0	20411	20401	0.2365	0.2362	0.46	0.550	20368	0.7	6	30.0	0.039	0.002	0.268	0.002	1	0.002
10	3-A-1077	1.333	0.002	1.891	0.005	20336	0.97	0.189	0.004	0.097	0	1.891	0.005	0	0	20411	20401	0.2365	0.2362	0.46	0.550	20368	0.7	6	26.0	0.039	0.002	0.286	0.002	1	0.002
11	3-A-1079	1.465	0.002	1.890	0.005	20336	0.97	0.221	0.004	0.096	0	1.890	0.005	0	0	20411	20401	0.2366	0.2362	NULL	0.550	20368	NULL	6	26.0	0.039	0.002	0.317	0.002	1	0.002
12	3-A-1204	2.106	0.002	2.713	0.005	20336	1.26	0.252	0.004	0.153	0	2.713	0.005	0	0	20411	20401	0.2503	0.2499	0.64	0.550	20368	1.1	7	86.4	0.035	0.002	0.405	0.002	1	0.002
13	3-A-1336	1.502	0.002	2.025	0.005	20336	0.97	0.237	0.004	0.095	0	2.025	0.005	0	0	20411	20401	0.2365	0.2362	0.50	0.560	20368	0.7	6	35.0	0.037	0.002	0.332	0.002	1	0.002
14	3-A-1463	1.402	0.002	1.890	0.005	20336	0.97	0.208	0.004	0.094	0	1.890	0.005	0	0	20411	20401	0.2365	0.2362	0.46	0.560	20368	0.7	6	26.0	0.037	0.002	0.302	0.002	1	0.002
15	3-A-1876	1.429	0.002	2.024	0.005	20336	0.97	0.216	0.004	0.096	0	2.024	0.005	0	0	20411	20401	0.2365	0.2362	NULL	0.550	20368	0.7	6	35.0	0.035	0.002	0.312	0.002	1	0.002
16	3-A-2177	1.296	0.002	1.732	0.005	20336	0.80	0.164	0.004	0.000	0	1.732	0.005	0	0	20411	20401	0.2005	0.2001	0.41	-99.000	20369	0.6	6	18.7	0.036	0.002	0.164	0.002	1	0.002
17	3-A-2178	1.366	0.002	1.932	0.005	20336	0.88	0.208	0.004	0.097	0	1.932	0.005	0	0	20411	20401	0.2005	0.2001	NULL	0.370	20368	0.8	6	27.0	0.037	0.002	0.305	0.002	1	0.002
18	3-A-2179	1.250	0.002	1.730	0.005	20336	0.89	0.167	0.004	0.093	0	1.730	0.005	0	0	20411	20401	0.2002	0.1998	0.40	0.360	20368	0.7	6	22.0	0.040	0.002	0.260	0.002	1	0.002
19	3-A-2180	1.300	0.002	1.732	0.005	20336	0.88	0.186	0.004	0.086	0	1.732	0.005	0	0	20411	20401	0.2005	0.2001	NULL	0.370	20368	0.7	6	21.0	0.037	0.002	0.272	0.002	1	0.002
20	3-A-2181	1.294	0.002	1.732	0.005	20336	0.88	0.178	0.004	0.093	0	1.732	0.005	0	0	20411	20401	0.2005	0.2001	0.41	0.370	20368	0.7	6	22.0	0.040	0.002	0.271	0.002	1	0.002
21	3-A-2182	NULL	0.002	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.002	NULL	NULL	NULL	NULL
22	3-A-2183	1.284	0.002	1.732	0.005	20336	0.89	0.176	0.004	0.093	0	1.732	0.005	0	0	20411	20401	0.2005	0.2001	0.41	0.380	20368	0.7	6	22.0	0.040	0.002	0.269	0.002	1	0.002
23	3-A-2223	1.430	0.002	2.025	0.005	NULL	0.97	0.219	0.004	0.094	0	2.025	0.005	0	0	20411	20401	0.2366	0.2362	NULL	0.550	20368	0.7	NULL	33.0	0.032	0.002	0.313	0.002	1	0.002
