id	part	cd_outer_diameter_a	cd_inner_diameter_b	cd_material	cd_weight	cd__mounting_holes	cd_mounting_hole_dia_c	cd_matl_thickness_d	cd_plating_coating	cd_diagram_
1	8-A-5634	1.718	0.392	19750	6.4	4	0.228	0.023	20314	NULL
2	8-B-0115	2.350	1.355	19752	NULL	2	0.141	0.018	20311	NULL
3	8-B-0979	2.475	1.098	19750	12.8	2	0.204	0.022	20314	NULL
4	8-B-2732	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5	8-B-2870	1.600	0.875	19753	NULL	0	-99.000	0.024	20325	NULL
6	8-B-4053	2.390	0.820	19753	NULL	0	-99.000	0.024	20325	NULL
7	8-B-5345	2.020	0.830	19752	8.8	2	0.141	0.025	20311	NULL
8	8-C-3824	1.051	0.630	19749	NULL	0	-99.000	0.026	20311	NULL
9	8-C-4110	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
10	8-C-5692	2.116	0.548	19749	15.8	0	-99.000	0.025	20311	NULL
11	8-C-5700	1.484	0.456	19749	6.4	0	-99.000	0.022	20311	NULL
12	8-D-0413	1.440	0.788	19751	NULL	0	-99.000	0.025	20316	NULL
13	8-D-0914	1.070	0.594	19751	NULL	0	-99.000	0.025	20316	NULL
14	8-D-1323	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15	8-D-2472	1.082	0.530	19751	NULL	0	-99.000	0.024	20314	NULL
16	8-E-1105	1.721	0.483	19749	NULL	0	-99.000	0.024	20311	NULL
17	8-E-2428	1.389	0.385	19749	NULL	0	-99.000	0.024	20311	NULL
18	8-E-4322	1.389	0.335	19749	NULL	0	-99.000	0.024	20311	NULL
19	8-G-4751	0.584	0.398	19752	3.6	0	-99.000	0.025	20311	NULL
20	8-G-4752	0.629	0.300	19752	4.5	0	-99.000	0.031	20311	NULL
21	8-G-4753	0.880	0.475	19752	5.5	0	-99.000	0.022	20311	NULL
22	8-G-4754	0.590	0.340	19752	2.6	0	-99.000	0.025	20311	NULL
23	8-G-4755	0.831	0.394	19752	6.2	0	-99.000	0.031	20311	NULL
24	8-G-4776	0.785	0.402	19752	4.8	0	-99.000	0.025	20311	NULL
25	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
