id	part	cd_type	cd_material	cd_split_single_passage	cd_shape	cd__bolt_holes	cd_thickness	cd_passage_a	cd_b	cd_c	cd_d	cd_e	cd_f	cd_g	cd_h	cd_diagram_	cd_weight
1	8-A-0021	19801	19779	19794	CIRCULAR	6	0.016	2.455	4.14	3.49	0.36	0.05	-99.00	-99.00	-99.00	NULL	NULL
2	8-A-0022	19802	19782	19794	CIRCULAR	4	0.062	2.750	0.41	4.00	-99.00	-99.00	-99.00	-99.00	-99.00	NULL	NULL
3	8-A-0062	19799	19790	19794	DIAMOND	2	0.032	0.650	0.36	1.50	0.75	NULL	-99.00	-99.00	-99.00	NULL	NULL
4	8-A-0270	19798	19790	19794	DIAMOND	2	0.062	0.725	0.39	2.05	1.03	1.03	0.62	0.51	2.79	NULL	2.6
5	8-A-0271	19801	19778	19794	RECTANGULAR	4	0.022	1.858	2.59	0.44	3.38	1.75	4.25	2.63	0.05	NULL	NULL
6	8-A-0286	19804	19789	19794	CIRCULAR	0	0.018	4.440	4.69	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	NULL	NULL
7	8-A-0696	19799	19789	19794	DIAMOND	2	0.032	0.718	0.42	1.56	0.78	1.28	-99.00	-99.00	-99.00	NULL	NULL
8	8-A-0697	19799	19789	19794	DIAMOND	2	0.032	0.940	0.44	2.06	1.03	1.50	-99.00	-99.00	-99.00	NULL	NULL
9	8-A-0709	19801	19778	19795	RECTANGULAR	4	0.022	2.036	1.43	0.41	3.25	2.75	4.25	3.75	0.05	NULL	NULL
10	8-A-0710	19801	19778	19794	RECTANGULAR	4	0.022	3.068	2.07	0.22	3.50	2.75	4.32	3.58	0.05	NULL	NULL
11	8-A-0711	19801	19778	19795	RECTANGULAR	4	0.016	1.750	1.22	0.43	3.37	1.75	4.24	2.64	0.04	NULL	NULL
12	8-A-0751	19799	19782	19794	DIAMOND	2	0.035	0.750	0.41	1.51	0.75	NULL	-99.00	-99.00	-99.00	NULL	NULL
13	8-A-0753	19801	19778	19795	RECTANGULAR	4	0.016	2.054	1.41	0.44	3.52	2.75	4.31	3.54	0.04	NULL	NULL
14	8-A-0754	19802	19778	19794	CIRCULAR	4	0.016	2.425	0.34	3.50	4.10	0.04	-99.00	-99.00	-99.00	NULL	NULL
15	8-A-0755	19802	19778	19794	CIRCULAR	4	0.016	2.906	0.41	4.18	5.00	0.04	-99.00	-99.00	-99.00	NULL	NULL
16	8-A-0943	19801	19778	19795	RECTANGULAR	4	0.025	2.635	2.63	0.44	4.44	2.75	5.31	3.63	0.05	NULL	NULL
17	8-A-0987	19801	19778	19794	RECTANGULAR	4	0.025	3.438	2.40	0.44	4.45	2.75	5.25	3.38	0.05	NULL	NULL
18	8-A-0988	19801	19778	19794	RECTANGULAR	4	0.022	3.768	2.64	0.44	4.43	2.75	5.30	3.63	0.05	NULL	NULL
19	8-A-2063	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
20	8-A-2923	19799	19782	19794	DIAMOND	2	0.066	0.600	0.38	1.50	0.75	NULL	-99.00	-99.00	-99.00	NULL	NULL
21	8-A-3208	19801	19778	19794	RECTANGULAR	4	0.016	1.967	1.50	0.37	2.88	1.58	3.63	2.36	0.03	NULL	NULL
22	8-A-3476	19799	19789	19794	DIAMOND	2	0.032	0.387	0.36	1.50	0.75	NULL	-99.00	-99.00	-99.00	NULL	NULL
23	8-A-3541	19804	19791	19794	CIRCULAR	0	0.030	0.312	0.87	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	NULL	NULL
24	8-A-3542	19804	19787	19794	CIRCULAR	0	0.020	0.132	0.70	-99.00	-99.00	-99.00	-99.00	-99.00	-99.00	NULL	NULL
25	8-A-3543	19804	19792	19796	CIRCULAR	0	0.272	1.357	1.76	1.73	1.38	-99.00	-99.00	-99.00	-99.00	NULL	NULL
26	8-A-4398	19798	19785	19794	DIAMOND	2	0.040	0.570	1.50	0.75	0.28	-99.00	-99.00	-99.00	-99.00	NULL	NULL
27	8-A-6118	19804	19781	19795	TRIANGULAR	3	0.022	1.047	0.21	0.86	0.45	2.38	2.36	-99.00	-99.00	NULL	2.7
28	8-A-6241	19801	19779	19794	5-SIDED	3	0.017	1.650	2.72	0.39	1.85	-99.00	-99.00	-99.00	-99.00	NULL	NULL
29	8-A-6242	19802	19779	19794	CIRCULAR FLANGED	4	0.019	1.745	2.60	1.89	1.09	3.43	0.36	2.11	-99.00	NULL	NULL
30	8-A-6245	19801	19779	19794	CIRCULAR/TRIANGULAR	3	0.017	1.980	2.28	0.39	3.30	3.13	2.35	-99.00	-99.00	NULL	NULL
31	8-A-6246	19801	19779	19794	TRIANGULAR	3	0.017	1.390	2.37	0.34	0.38	2.12	2.43	-99.00	-99.00	NULL	NULL
32	8-A-6250	19801	19779	19794	RECTANGULAR	4	0.018	1.750	1.35	0.36	2.99	2.31	1.83	2.52	-99.00	NULL	NULL
33	8-A-6253	19801	19779	19794	TRIANGULAR	3	0.019	1.538	2.21	0.35	1.10	-99.00	-99.00	-99.00	-99.00	NULL	NULL
34	8-A-6254	19802	19791	19794	CIRCULAR	3	0.018	1.646	3.35	2.75	2.44	0.35	2.58	0.65	-99.00	NULL	NULL
35	8-A-6255	19801	19778	19794	TRIANGULAR	3	0.017	NULL	0.34	3.01	2.12	1.22	NULL	-99.00	-99.00	NULL	NULL
36	8-A-6257	19801	19778	19794	OTHER	3	0.017	0.840	0.43	2.44	1.85	0.03	-99.00	-99.00	-99.00	NULL	NULL
37	8-B-0094	19798	19782	19794	DIAMOND	2	0.032	0.969	0.41	2.00	1.00	NULL	-99.00	-99.00	-99.00	NULL	NULL
