id	part	cd_dia_a	cd_dia_a_tol	cd_dia_b	cd_dia_b_tol	cd_dia_c	cd_dia_c_tol	cd_dia_d	cd_dia_d_tol	cd_bore_dia_e	cd_bore_dia_e_tol	cd_bore_height_f	cd_bore_height_f_tol	cd_oal_g	cd_oal_g_tol	cd_gauge	cd_matl	cd_special_features	cd_rolled_lip	cd_weight	cd_diagram_	cd_thickness
1	6-A-0291	3.170	0.005	2.564	0.005	2.492	0.005	-99.000	0.005	0.762	0.005	0.711	0.005	0.812	0.005	20	19830	NULL	0	52.1	1	0.036
2	6-A-0294	3.170	0.005	2.734	0.005	2.330	0.005	-99.000	0.005	0.765	0.005	0.718	0.005	0.820	0.005	20	19830	NULL	0	50.3	1	0.036
3	6-A-0707	2.660	0.005	2.410	0.005	1.970	0.005	-99.000	0.005	0.695	0.005	0.296	0.005	0.359	0.005	20	19830	NULL	0	30.2	1	0.038
4	6-A-1095	2.660	0.005	2.445	0.005	1.825	0.005	2.165	0.005	0.695	0.005	0.340	0.005	0.340	0.005	20	19830	NULL	0	27.4	2	0.036
5	6-A-1096	2.661	0.005	2.415	0.005	1.848	0.005	1.932	0.005	0.695	0.005	0.296	0.005	0.296	0.005	19	19830	NULL	0	30.3	2	0.042
6	6-A-1102	2.660	0.005	2.410	0.005	2.336	0.005	-99.000	0.005	0.695	0.005	0.296	0.005	0.368	0.005	22	19830	NULL	0	30.8	1	0.037
7	6-A-1781	3.181	0.005	2.797	0.005	2.919	0.005	-99.000	0.005	0.768	0.005	0.716	0.005	0.820	0.005	21	19830	NULL	0	63.5	1	0.034
8	6-A-1878	2.660	0.005	2.500	0.005	2.126	0.005	2.200	0.005	0.695	0.005	0.280	0.005	0.350	0.005	22	19830	NULL	0	28.2	2	0.037
9	6-A-2184	2.660	0.005	2.336	0.005	1.560	0.005	-99.000	0.005	0.726	0.005	0.305	0.005	0.359	0.005	20	19830	NULL	0	27.0	1	0.036
10	6-A-2657	2.665	0.005	2.428	0.005	1.826	0.005	2.081	0.005	0.694	0.005	0.300	0.005	0.337	0.005	19	19830	3 EQUALLY SPACED INDENTS	0	27.9	2	0.037
11	6-A-3165	4.675	0.005	4.305	0.005	4.090	0.005	-99.000	0.005	0.865	0.005	1.062	0.005	1.305	0.005	13	NULL	NULL	NULL	NULL	1	0.094
12	6-A-3309	1.928	0.005	-99.000	0.005	1.200	0.005	-99.000	0.005	0.765	0.005	0.060	0.005	0.090	0.005	22	19834	NULL	0	10.9	1	0.030
13	6-A-3311	2.660	0.005	2.276	0.005	1.700	0.005	1.844	0.005	0.728	0.005	0.326	0.005	0.362	0.005	20	19830	NULL	0	27.3	2	0.036
14	6-A-3312	2.239	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	0.758	0.005	0.048	0.005	0.092	0.005	19	19834	NULL	0	22.4	1	0.044
15	6-A-3752	4.675	0.005	4.305	0.005	4.117	0.005	-99.000	0.005	0.865	0.005	1.211	0.005	1.305	0.005	13	19833	NULL	0	NULL	1	0.094
16	6-A-4186	1.815	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	0.765	0.005	0.090	0.005	0.090	0.005	22	19834	NULL	0	8.9	1	0.030
17	6-A-4408	1.740	0.005	1.640	0.005	1.520	0.005	-99.000	0.005	0.838	0.005	0.108	0.005	0.108	0.005	26	19832	NULL	0	4.8	1	0.019
18	6-A-4700	2.010	0.005	1.758	0.005	0.957	0.005	-99.000	0.005	0.770	0.005	0.086	0.005	0.086	0.005	24	19830	NULL	1	8.6	1	0.019
19	6-A-4701	3.210	0.005	2.941	0.005	2.869	0.005	-99.000	0.005	0.818	0.005	0.795	0.005	0.870	0.005	20	19830	NULL	0	62.9	1	0.040
20	6-A-4702	2.657	0.005	2.224	0.005	1.587	0.005	NULL	0.005	0.725	0.005	0.340	0.005	0.340	0.005	NULL	NULL	NULL	NULL	25.4	NULL	0.035
21	6-A-4896	2.660	0.005	1.850	0.005	1.770	0.005	NULL	0.005	0.730	0.005	0.365	0.005	0.365	0.005	NULL	NULL	NULL	NULL	26.8	NULL	0.040
22	6-A-5288	2.370	0.005	2.120	0.005	1.770	0.005	-99.000	0.005	0.735	0.005	0.230	0.005	0.230	0.005	20	19830	NULL	0	20.4	1	0.035
23	6-A-5612	2.904	0.005	2.648	0.005	2.568	0.005	-99.000	0.005	0.941	0.005	0.861	0.005	0.883	0.005	20	19830	NULL	0	49.1	1	0.040
24	6-A-5632	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	6-A-5637	2.658	0.005	2.136	0.005	2.060	0.005	-99.000	0.005	0.731	0.005	0.309	0.005	0.353	0.005	20	19830	NULL	0	29.1	1	0.038
26	6-A-5668	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
27	6-A-5681	3.742	0.005	3.520	0.005	3.340	0.005	3.420	0.005	0.985	0.005	1.124	0.005	1.224	0.005	20	19830	NULL	0	97.8	2	0.040
28	6-A-5725	3.260	0.005	3.020	0.005	2.942	0.005	-99.000	0.005	1.023	0.005	0.937	0.005	0.976	0.005	20	19830	NULL	0	67.4	1	0.039
29	6-A-5771	3.050	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	1.045	0.005	0.082	0.005	0.159	0.005	19	19830	3 EQUALLY SPACED C.BORE	0	35.8	1	0.044
30	6-A-5844	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
31	6-A-5889	2.912	0.005	2.680	0.005	2.400	0.005	-99.000	0.005	0.946	0.005	0.832	0.005	0.897	0.005	20	19830	NULL	0	45.6	1	0.040
32	6-A-5905	3.264	0.005	3.028	0.005	2.780	0.005	2.860	0.005	0.986	0.005	0.915	0.005	0.975	0.005	20	19830	4 EQUALLY SPACED THRU HOLES	0	59.9	2	0.040
33	6-A-5953	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
34	6-A-6008	3.745	0.005	3.531	0.005	3.346	0.005	NULL	0.005	0.984	0.005	1.204	0.005	1.240	0.005	20	19830	4 EQUALLY SPACED THRU HOLES	0	100.1	1	0.036
35	6-A-6112	1.968	0.005	1.583	0.005	1.443	0.005	-99.000	0.005	0.946	0.005	0.079	0.005	0.155	0.005	20	19830	NULL	0	22.3	1	0.036
36	6-A-6120	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
37	6-A-6168	3.740	0.005	3.531	0.005	3.418	0.005	-99.000	0.005	0.902	0.005	1.204	0.005	1.240	0.005	20	19830	4 EQUALLY SPACED THRU HOLES	0	94.9	1	0.036
38	6-A-6233	3.714	0.005	2.274	0.005	2.090	0.005	-99.000	0.005	1.545	0.005	0.051	0.005	0.168	0.005	18	19834	NULL	0	22.3	1	0.051
39	6-B-4054	3.200	0.005	2.955	0.005	2.919	0.005	-99.000	0.005	0.830	0.005	0.615	0.005	0.710	0.005	20	19830	NULL	0	56.3	1	0.038
40	6-B-5201	3.200	0.005	2.960	0.005	2.960	0.005	NULL	0.005	0.836	0.005	0.654	0.005	0.704	0.005	NULL	NULL	NULL	NULL	56.6	NULL	0.038
41	6-B-5344	3.600	0.005	3.280	0.005	3.208	0.005	-99.000	0.005	0.937	0.005	0.726	0.005	0.762	0.005	20	19830	NULL	0	71.2	1	0.036
42	6-B-5860	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
43	6-C-4035	3.226	0.005	3.000	0.005	2.900	0.005	-99.000	0.005	0.945	0.005	0.830	0.005	0.933	0.005	18	19830	NULL	0	81.7	1	0.050
44	6-C-4037	3.444	0.005	3.130	0.005	3.042	0.005	-99.000	0.005	0.945	0.005	0.842	0.005	0.939	0.005	19	19830	NULL	0	91.1	1	0.044
45	6-C-4038	3.692	0.005	3.420	0.005	3.294	0.005	-99.000	0.005	1.121	0.005	1.015	0.005	1.070	0.005	16	19830	NULL	0	131.5	1	0.063
46	6-C-5338	2.912	0.005	2.832	0.005	2.403	0.005	-99.000	0.005	0.868	0.005	0.861	0.005	0.924	0.005	20	19830	NULL	0	49.5	1	0.040
47	6-C-5697	2.606	0.005	2.292	0.005	2.216	0.005	-99.000	0.005	0.676	0.005	0.384	0.005	0.430	0.005	20	19830	NULL	0	30.9	1	0.038
48	6-D-2281	2.430	0.005	2.124	0.005	1.634	0.005	2.040	0.005	0.610	0.005	0.206	0.005	0.311	0.005	19	19830	NULL	0	24.6	2	0.042
49	6-D-2282	2.430	0.005	1.978	0.005	1.822	0.005	-99.000	0.005	0.610	0.005	0.238	0.005	0.306	0.005	19	19830	NULL	0	28.5	1	0.042
50	6-D-3556	1.945	0.005	1.842	0.005	1.342	0.005	1.414	0.005	0.590	0.005	0.178	0.005	0.228	0.005	22	19830	NULL	1	11.3	2	0.031
51	6-D-3885	1.694	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	0.758	0.005	0.070	0.005	0.100	0.005	22	19834	NULL	0	7.5	1	0.031
