id	part	cd_max_outer_diameter	cd_min_outer_diameter	cd_max_inner_diameter	cd_min_inner_diameter	cd_size	cd_length	cd_length_tol	cd_feed_hole_count	cd_feed_hole_diameter	cd_free_pinned	cd_bearings_per_cartridge	cd_oil_feed	cd_rotation	cd_material	cd_center_diameter_od	cd_end_configuration	cd_bore_configuration	cd_weight	cd_special_features	cd_special_features_onoff	cd__brg_surfaces	cd_diagram_
1	8-A-0199	0.6188	0.6183	0.3964	0.3959	19857	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
2	8-A-0200	0.6188	0.6183	0.3914	0.3909	19858	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
3	8-A-0201	0.6238	0.6233	0.3964	0.3959	19862	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
4	8-A-0202	0.6288	0.6283	0.3914	0.3909	19868	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
5	8-A-0203	0.6238	0.6233	0.4014	0.4009	19861	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
6	8-A-0204	0.6288	0.6283	0.4014	0.4009	19866	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
7	8-A-0205	0.6188	0.6183	0.3864	0.3859	19859	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
8	8-A-0206	0.6238	0.6233	0.3914	0.3909	19863	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
9	8-A-0208	0.6288	0.6283	0.3964	0.3959	19867	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
10	8-A-0210	0.6338	0.6333	0.4014	0.4009	19871	0.406	0.005	6	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
11	8-A-0211	0.9837	0.9832	0.6272	0.6267	19861	0.410	0.005	4	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
12	8-A-0213	0.9787	0.9782	0.6222	0.6217	19857	0.410	0.005	4	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
13	8-A-0215	0.9787	0.9782	0.6172	0.6167	19858	0.410	0.005	4	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
14	8-A-0217	0.9887	0.9882	0.6272	0.6267	19866	0.410	0.005	4	0.078	19848	2	19721	20336	19852	NULL	19845	19839	NULL	NULL	NULL	1	NULL
