id	part	cd_outer_diameter_a	cd_outer_diameter_a_tol	cd_inner_diameter_b	cd_inner_diameter_b_tol	cd_length_c	cd_length_c_tol	cd_notchesside	cd_hole_diam_d	cd_hole_diam_d_tol	cd_outer_configuration	cd_pressedfloating	cd_weight	cd_diagram_
1	8-A-1521	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	8-A-2055	0.699	0.005	0.495	0.005	1.063	0.005	3	0.435	0.005	19883	19887	15.5	2
3	8-A-2139	0.786	0.005	0.552	0.005	1.192	0.005	3	0.460	0.005	19883	19887	27.8	2
4	8-A-3138	0.791	0.003	0.552	0.005	1.200	0.005	3	0.255	0.005	19883	19887	27.5	2
5	8-A-3141	0.806	0.005	0.552	0.005	1.200	0.005	3	0.515	0.005	19883	19887	28.2	2
6	8-A-4041	0.698	0.005	0.493	0.005	0.816	0.005	3	0.435	0.005	19883	19887	11.0	2
7	8-A-4517	0.698	0.005	0.496	0.005	0.815	0.005	3	0.430	0.005	19883	19887	11.0	2
8	8-A-4518	0.698	0.005	0.486	0.005	1.005	0.005	3	0.430	0.005	19883	19887	15.0	2
9	8-A-4744	0.614	0.005	0.444	0.005	1.125	0.005	3	0.372	0.005	19883	19887	12.9	2
10	8-A-5884	0.610	0.005	0.440	0.005	0.905	0.005	3	0.370	0.005	19883	19887	10.1	2
11	8-A-6040	0.785	0.005	0.551	0.005	1.030	0.005	4	0.513	0.005	19884	19887	19.4	2
12	8-A-6234	0.790	0.005	0.553	0.005	1.020	0.005	4	0.500	0.005	19884	19887	22.5	2
13	8-D-4745	0.374	0.005	0.273	0.005	0.576	0.005	-99	0.230	0.005	19884	19887	2.4	1
14	8-F-1310	0.732	0.005	0.485	0.005	1.426	0.005	-99	0.315	0.005	19884	19887	37.6	1
15	8-F-4176	0.457	0.001	0.330	0.005	0.826	0.005	-99	0.315	0.005	19884	19888	6.1	1
16	8-F-4497	0.490	0.005	0.356	0.005	0.840	0.005	-99	0.340	0.005	19884	19887	6.6	1
17	8-F-6020	0.540	0.001	0.391	0.001	0.946	0.001	-99	0.376	0.005	19884	19888	9.1	1
18	8-G-0796	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
19	8-G-0992	0.625	0.005	0.470	0.005	1.032	0.005	-99	0.278	0.005	19884	19887	14.0	1
20	8-G-4747	0.532	0.005	0.401	0.005	1.035	0.005	-99	0.195	0.005	19884	19887	9.8	1
21	8-G-4762	0.625	0.005	0.470	0.005	1.214	0.005	-99	0.275	0.005	19884	19887	16.6	1
22	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
