id	part	cd_shaft_nut	cd_type	cd_flange	cd_drive_type	cd_thread	cd_thd_hand	cd_thread_length	cd_oal	cd_oal_tol	cd_flange_dia	cd_flange_dia_tol	cd_grade	cd_plating_coating	cd_special_features	cd_show_special_features	cd_weight	cd_prevailing_torque_type	cd_diagram_	cd_across_flats
1	8-A-0150	0	19910	0	19895	20561	20402	0.328	0.328	0.005	-99.000	0.005	19808	20322	NULL	NULL	6.9	19898	NULL	0.563
2	8-A-0163	1	19911	1	19896	20519	20402	0.290	0.290	0.005	0.530	0.005	19807	20322	NULL	NULL	NULL	NULL	NULL	0.368
3	8-A-0164	1	19911	1	19896	20541	20402	0.340	0.340	0.005	0.588	0.005	19807	20322	NULL	NULL	NULL	NULL	NULL	0.428
4	8-A-0165	1	19911	1	19896	20571	20402	0.373	0.373	0.005	0.684	0.005	19807	20322	NULL	NULL	NULL	NULL	NULL	0.493
5	8-A-0166	1	19911	1	19896	20599	20402	0.416	0.416	0.005	0.774	0.005	19807	20322	NULL	NULL	NULL	NULL	NULL	0.556
6	8-A-0713	0	19910	0	19895	20519	20402	0.320	0.320	0.005	-99.000	0.005	NULL	20322	NULL	NULL	NULL	19901	NULL	0.436
7	8-A-1201	1	19911	1	19896	20519	20402	0.371	0.371	0.005	0.582	0.005	19807	20322	NULL	NULL	8.6	NULL	NULL	0.435
8	8-A-1856	1	19911	1	19896	20897	20403	0.236	0.236	0.005	0.464	0.005	19807	NULL	NULL	NULL	NULL	NULL	NULL	0.312
9	8-A-1856R	1	NULL	1	19896	20897	20403	0.236	0.236	0.005	0.464	0.005	19807	20326	NULL	NULL	NULL	NULL	NULL	0.312
10	8-A-1869	1	19911	1	19895	20519	20403	0.274	0.274	0.005	0.530	0.005	19807	NULL	NULL	NULL	NULL	NULL	NULL	0.370
11	8-A-2352	1	19911	1	19895	20541	20403	0.330	0.330	0.005	0.591	0.005	NULL	NULL	NULL	NULL	5.2	NULL	NULL	0.432
12	8-A-2470	1	19911	1	19896	20909	20403	0.350	0.350	0.005	0.472	0.005	19807	NULL	NULL	NULL	NULL	NULL	NULL	0.275
13	8-A-2589	1	19911	1	19896	20909	20403	0.270	0.270	0.005	0.464	0.005	19807	20322	NULL	NULL	2.8	NULL	NULL	0.312
14	8-A-3022	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
15	8-A-5214	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	8-B-0397	0	19910	0	19895	20597	20402	0.315	0.450	0.005	-99.000	0.005	19807	20325	NULL	NULL	8.9	NULL	NULL	0.615
17	8-B-0417	1	19910	0	19895	20925	20403	0.315	0.315	0.005	-99.000	0.005	19810	20311	NULL	NULL	NULL	NULL	NULL	0.517
18	8-B-0523	1	19910	0	19895	20519	20402	0.217	0.217	0.005	-99.000	0.005	19807	20325	NULL	NULL	NULL	NULL	NULL	0.430
19	8-B-0833	1	19910	0	19895	20909	20403	0.303	0.303	0.005	-99.000	0.005	NULL	NULL	NULL	NULL	3.3	NULL	NULL	0.394
20	8-B-1006	1	19911	1	19896	20915	20403	0.287	0.287	0.005	0.551	0.005	19807	20322	NULL	NULL	NULL	NULL	NULL	0.394
21	8-B-1006R	1	19911	1	19896	20915	20403	0.287	0.287	0.005	0.551	0.005	19807	20326	NULL	NULL	NULL	NULL	NULL	0.394
22	8-B-2867	1	19910	0	19895	20951	20403	0.354	0.354	0.005	-99.000	0.005	19810	20311	NULL	NULL	NULL	NULL	NULL	0.667
23	8-B-4063	0	19910	0	19895	20541	20402	0.334	0.334	0.005	-99.000	0.005	NULL	20325	NULL	NULL	NULL	19901	NULL	0.500
24	8-C-1252	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.005	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	8-C-1579	1	19910	0	19895	20915	20402	0.278	0.278	0.005	-99.000	0.005	19807	20311	NULL	NULL	NULL	NULL	NULL	0.500
