id	part	cd_inner_dia_a	cd_inner_dia_a_tol	cd_crosssection_type	cd_xsec_dia_b	cd_xsec_dia_b_tol	cd_radial_section_dim_square	cd_radial_section_dim_tol	cd_axial_section_dim_square	cd_axial_section_dim_tol	cd_matl	cd_dash_no	cd_special_features	cd_show_special_features	cd_weight
1	8-A-0138	2.183	0.005	20296	-99.000	0.005	0.068	0.005	0.068	0.005	20292	19916	NULL	NULL	NULL
2	8-A-0139	2.490	0.005	20296	-99.000	0.005	0.062	0.005	0.062	0.005	20292	19916	NULL	NULL	NULL
3	8-A-0140	2.717	0.005	20296	-99.000	0.005	0.066	0.005	0.066	0.005	20292	19916	NULL	NULL	NULL
4	8-A-0160	1.614	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19946	NULL	NULL	NULL
5	8-A-0161	2.989	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19957	NULL	NULL	NULL
6	8-A-0175	2.984	0.005	20295	0.139	0.005	-99.000	0.005	-99.000	0.005	20292	20077	NULL	NULL	NULL
7	8-A-0176	5.859	0.005	20295	0.139	0.005	-99.000	0.005	-99.000	0.005	20291	20100	NULL	NULL	NULL
8	8-A-0177	8.994	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
9	8-A-0179	2.300	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20292	20006	NULL	NULL	NULL
10	8-A-0180	4.359	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
11	8-A-0181	5.987	0.005	20295	0.103	0.005	-99.000	0.005	-99.000	0.005	20292	20028	NULL	NULL	NULL
12	8-A-0258	2.680	0.005	20295	-99.000	0.005	0.065	0.005	0.065	0.005	20292	19916	NULL	NULL	NULL
13	8-A-0330	0.454	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
14	8-A-0331	0.426	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19929	NULL	NULL	NULL
15	8-A-0828	4.989	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20291	19965	NULL	NULL	NULL
16	8-A-1843	5.239	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20291	19966	NULL	NULL	NULL
17	8-A-1859	1.884	0.005	20296	-99.000	0.005	0.080	0.005	0.102	0.005	20292	19916	NULL	NULL	NULL
18	8-A-2061	0.421	0.005	20295	0.139	0.005	-99.000	0.005	-99.000	0.005	20292	20048	NULL	NULL	NULL
19	8-A-2062	0.828	0.005	20295	0.139	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
20	8-A-2122	2.989	0.005	20296	-99.000	0.005	0.066	0.005	0.066	0.005	20292	19916	NULL	NULL	NULL
21	8-A-2467	2.427	0.005	20296	-99.000	0.005	0.065	0.005	0.065	0.005	20292	19916	NULL	NULL	NULL
22	8-A-2515	3.489	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19959	NULL	NULL	NULL
23	8-A-2526	3.239	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19958	NULL	NULL	NULL
24	8-A-2541	9.190	0.005	20295	0.101	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
25	8-A-2542	4.239	0.005	20296	-99.000	0.005	0.065	0.005	0.065	0.005	20292	19916	NULL	NULL	NULL
26	8-A-2553	2.245	0.005	20296	-99.000	0.005	0.099	0.005	0.099	0.005	20292	19916	NULL	NULL	NULL
27	8-A-2575	2.600	0.005	20297	-99.000	0.005	0.085	0.005	0.152	0.005	20292	19916	NULL	NULL	NULL
28	8-A-2938	3.150	0.005	20296	-99.000	0.005	0.065	0.005	0.065	0.005	20292	19916	NULL	NULL	NULL
29	8-A-3010	3.739	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19960	NULL	NULL	NULL
30	8-A-3013	4.239	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19962	NULL	NULL	NULL
31	8-A-3014	4.489	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
32	8-A-3023	7.920	0.005	20295	0.139	0.005	-99.000	0.005	-99.000	0.005	20291	19916	NULL	NULL	NULL
33	8-A-3082	1.114	0.005	20296	-99.000	0.005	0.100	0.005	0.100	0.005	20292	19916	NULL	NULL	NULL
34	8-A-3136	6.530	0.005	20295	0.075	0.005	-99.000	0.005	-99.000	0.005	20292	19916	NULL	NULL	NULL
35	8-A-3539	0.364	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19928	NULL	NULL	NULL
36	8-A-3540	0.489	0.005	20295	0.070	0.005	-99.000	0.005	-99.000	0.005	20292	19930	NULL	NULL	NULL
