id	part	cd_installed_diameter_a	cd_gap_b_installed_diameter	cd_thickness_c	cd_thickness_c_tol	cd_width_d	cd_width_d_upper_tol	cd_width_d_lower_tol	cd_material	cd_type	cd_weight	cd_diagram_
1	7-B-0527	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	7-C-1649	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
3	7-C-1726	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
4	7-D-0668	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
5	8-A-0016	0.510	0.006	0.028	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
6	8-A-0017	0.720	0.012	0.047	0.005	0.0620	0.0000	0.0010	20329	20332	NULL	NULL
7	8-A-0033	0.697	0.006	0.033	0.005	0.0670	0.0000	0.0010	20329	20332	NULL	NULL
8	8-A-0184	0.813	0.012	0.038	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
9	8-A-0187	1.030	0.012	0.044	0.005	0.0615	0.0000	0.0010	20329	20332	NULL	NULL
10	8-A-0222	1.250	0.008	0.050	0.005	0.0925	0.0000	0.0010	20329	20332	NULL	NULL
11	8-A-0827	0.635	0.008	0.040	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
12	8-A-0832	0.700	0.012	0.038	0.005	0.0620	0.0000	0.0010	20328	20332	NULL	NULL
13	8-A-1127	0.710	0.012	0.044	0.005	0.0820	0.0000	0.0010	20329	20332	NULL	NULL
14	8-A-1423	0.625	0.008	0.039	0.005	0.0725	0.0000	0.0010	20328	20332	NULL	NULL
15	8-A-1424	0.625	0.008	0.039	0.005	0.0825	0.0000	0.0010	20329	20332	NULL	NULL
16	8-A-1460	0.710	0.012	0.044	0.005	0.0720	0.0000	0.0010	20329	20332	NULL	NULL
17	8-A-1493	0.635	0.008	0.040	0.005	0.0725	0.0000	0.0010	20329	20332	NULL	NULL
18	8-A-1494	0.720	0.012	0.047	0.005	0.0720	0.0000	0.0010	20329	20332	NULL	NULL
19	8-A-1554	0.500	0.006	0.027	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
20	8-A-1555	0.710	0.012	0.044	0.005	0.0620	0.0000	0.0010	20329	20332	NULL	NULL
21	8-A-1559	0.710	0.009	0.044	0.005	0.0620	0.0000	0.0010	20329	20332	NULL	NULL
22	8-A-1560	0.625	0.008	0.039	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
23	8-A-1566	0.591	0.006	0.029	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
24	8-A-1568	0.687	0.006	0.030	0.005	0.0670	0.0000	0.0010	20329	20332	NULL	NULL
25	8-A-1611	0.635	0.008	0.039	0.005	0.0825	0.0000	0.0010	20329	20332	NULL	NULL
26	8-A-1612	0.720	0.012	0.047	0.005	0.0820	0.0000	0.0010	20329	20332	NULL	NULL
27	8-A-1616	0.823	0.008	0.044	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
28	8-A-1627	1.040	0.012	0.047	0.005	0.0725	0.0000	0.0010	20329	20332	NULL	NULL
29	8-A-1631	1.260	0.008	0.051	0.005	0.0925	0.0000	0.0010	20329	20332	NULL	NULL
30	8-A-1632	1.250	0.008	0.051	0.005	0.1025	0.0000	0.0010	20328	20332	NULL	NULL
31	8-A-1633	1.258	0.006	0.050	0.005	0.1030	0.0000	0.0010	20328	20332	NULL	NULL
32	8-A-1634	1.248	0.006	0.050	0.005	0.1130	0.0000	0.0010	20328	20332	NULL	NULL
33	8-A-1635	1.255	0.010	0.053	0.005	0.1115	0.0000	0.0010	20329	20332	NULL	NULL
34	8-A-1720	0.823	0.008	0.044	0.005	0.0725	0.0000	0.0010	20328	20332	NULL	NULL
35	8-A-1721	0.833	0.012	0.044	0.005	0.0735	0.0000	0.0010	20329	20332	NULL	NULL
36	8-A-1855	0.368	0.003	0.022	0.005	0.0305	0.0000	0.0010	20329	20332	NULL	NULL
37	8-A-1913	1.020	0.012	0.044	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
38	8-A-1914	1.030	0.012	0.044	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
39	8-A-2050	0.562	0.006	0.028	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
40	8-A-2051	0.823	0.009	0.043	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
41	8-A-2219	0.707	0.006	0.043	0.005	0.0670	0.0000	0.0010	20329	20332	NULL	NULL
42	8-A-2261	0.920	0.008	0.040	0.005	0.0635	0.0000	0.0010	20329	20332	NULL	NULL
43	8-A-2341	0.570	0.006	0.028	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
44	8-A-2342	0.833	0.009	0.047	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
45	8-A-2434	1.250	0.008	0.050	0.005	0.0930	0.0000	0.0010	20328	20332	NULL	NULL
46	8-A-2494	0.820	0.006	0.050	0.005	0.0630	0.0000	0.0010	20328	20332	NULL	NULL
47	8-A-2496	0.928	0.006	0.044	0.005	0.0630	0.0000	0.0010	20329	20332	NULL	NULL
48	8-A-2523	0.625	0.008	0.038	0.005	0.0625	0.0000	0.0010	20329	20333	NULL	NULL
49	8-A-2524	0.710	0.012	0.044	0.005	0.0620	0.0000	0.0010	20329	20333	NULL	NULL
50	8-A-2537	1.062	0.004	0.049	0.005	0.0925	0.0000	0.0010	20329	20332	NULL	NULL
51	8-A-3069	0.532	0.006	0.025	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
52	8-A-3075	0.500	0.006	0.027	0.005	0.0725	0.0000	0.0010	20328	20332	NULL	NULL
53	8-A-3076	0.510	0.006	0.028	0.005	0.0725	0.0000	0.0010	20328	20332	NULL	NULL
54	8-A-3077	0.500	0.006	0.035	0.005	0.0825	0.0000	0.0010	20328	20332	NULL	NULL
55	8-A-3078	0.510	0.006	0.035	0.005	0.0825	0.0000	0.0010	20328	20332	NULL	NULL
56	8-A-3080	0.688	0.006	0.047	0.005	0.0880	0.0000	0.0010	20329	20332	NULL	NULL
57	8-A-3081	0.698	0.006	0.047	0.005	0.0880	0.0000	0.0010	20329	20332	NULL	NULL
58	8-A-3109	0.687	0.006	0.030	0.005	0.0770	0.0000	0.0010	20329	20332	NULL	NULL
59	8-A-3110	0.697	0.006	0.033	0.005	0.0770	0.0000	0.0010	20329	20332	NULL	NULL
60	8-A-3335	0.601	0.006	0.034	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
61	8-A-3883	0.394	0.003	0.028	0.005	0.0645	0.0000	0.0010	20328	20332	NULL	NULL
62	8-A-5212	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
63	8-A-6021	0.700	0.012	0.042	0.005	0.0625	0.0000	0.0010	20329	20332	NULL	NULL
64	8-A-6039	0.837	0.012	0.050	0.005	0.1100	0.0000	0.0010	20328	20332	NULL	NULL
65	8-B-0070	0.635	0.006	0.034	0.005	0.0625	0.0000	0.0010	20328	20332	NULL	NULL
