id	part	cd_internal_external	cd_tapered_constant_section	cd_axially_radially_assembled	cd_self_locking	cd_ring_type	cd_bowed	cd_beveled	cd_housing_bore_dia_e	cd_shaft_dia_d	cd_groove_dia	cd_groove_dia_upper_tol	cd_groove_dia_lower_tol	cd_groove_width	cd_groove_width_upper_tol	cd_groove_width_lower_tol	cd_free_dia_a	cd_free_dia_a_upper_tol	cd_free_dia_a_lower_tol	cd_thickness_b	cd_thickness_b_tol	cd_hole_dia_c	cd_number_of_prongs	cd_material	cd_finish_plating	cd_weight	cd_reference_number	cd_diagram_
1	8-A-0003	20350	20347	20354	0	20360	NULL	1	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	4.225	0.040	0.030	0.112	0.002	0.134	-99	20342	20315	34.0	NULL	NULL
2	8-A-0137	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.059	0.015	0.010	0.043	0.002	NULL	-99	20342	NULL	NULL	ROTOR CLIP HOI-100ST PA	NULL
3	8-A-0142	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.870	0.015	0.010	0.042	0.002	0.047	-99	20342	NULL	NULL	ROTOR CLIP HOI-81ST PA S	NULL
4	8-A-0149	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.675	0.010	0.005	0.025	0.002	0.030	-99	20342	20315	NULL	ROTOR CLIP HOI-62ST PA S	NULL
5	8-A-0251	20350	20347	20354	0	20361	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.161	0.025	0.020	0.049	0.002	0.051	-99	20342	20315	2.0	ROTOR CLIP HOI-118ST PA S	NULL
6	8-A-0327	20350	20346	20354	0	20364	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.598	0.010	0.005	0.023	0.002	NULL	-99	20342	NULL	NULL	ROTOR CLIP HO-54-ST	NULL
7	8-A-0950	NULL	20347	20354	0	20360	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	2.053	0.035	0.025	0.062	0.002	0.091	-99	20342	20315	5.6	OCHIAI MT-47	NULL
8	8-A-0951	20350	20347	20354	0	20360	NULL	0	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	3.730	0.040	0.030	0.114	0.002	0.134	-99	20342	20315	28.5	ROTOR CLIP VHO-334ST SP1 PA	NULL
9	8-A-0952	20351	20345	20355	0	20362	NULL	0	-99.000	0.280	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.402	-99.000	-99.000	0.035	0.002	-99.000	-99	20342	NULL	0.3	NULL	NULL
10	8-A-0953	20350	20347	20354	0	20360	NULL	1	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	2.980	0.040	0.030	0.093	0.002	NULL	-99	20342	20315	15.4	NULL	NULL
