id	part	cd_dia_a	cd_dia_a_tol	cd_dia_b	cd_dia_b_tol	cd_dia_c	cd_dia_c_tol	cd_dia_d	cd_dia_d_tol	cd_oring_groove_dia	cd_oring_groove_dia_tol	cd_oring_groove_width	cd_oring_groove_width_tol	cd_bore_dia	cd_bore_dia_tol	cd_dynamic_carbon_seal	cd_matl	cd_oal_e	cd_oal_e_tol	cd_hub_pos_f	cd_hub_pos_f_tol	cd_lead_in_chmfr_angle	cd_lead_in_chmfr_len	cd_superback_flatbackspecial	cd_weight	cd_pr_bore_dia	cd_pr_bore_dia_tol	cd__mounting_holes	cd_mounting_hole_dia	cd_diagram_	cd_cwc_dia	cd_cwc_dia_tol	cd_clamped_width_g	cd_clamped_width_g_tol
1	5-A-0158	1.749	0.002	1.375	0.005	0.821	0.002	1.234	0.005	-99.000	-99.000	-99.000	-99.000	0.500	0.001	19772	19726	0.268	0.005	0.000	0.002	NULL	NULL	20369	NULL	0.5230	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.200	0.002
2	5-A-0337	1.748	0.002	0.956	0.005	0.430	0.002	1.223	0.005	-99.000	-99.000	-99.000	-99.000	0.366	0.001	19773	19725	0.323	0.005	0.040	0.002	NULL	NULL	20368	15.0	0.3660	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.254	0.002
3	5-A-5602	NULL	0.002	NULL	0.005	NULL	0.002	NULL	0.005	NULL	NULL	NULL	NULL	NULL	0.001	NULL	NULL	NULL	0.005	NULL	0.002	NULL	NULL	NULL	NULL	NULL	0.0010	NULL	NULL	NULL	NULL	0.005	NULL	0.002
4	5-A-6111	3.128	0.002	1.576	0.005	0.560	0.002	-99.000	-99.000	1.654	0.005	0.100	0.005	0.394	0.001	19772	19730	0.540	0.005	0.053	0.002	NULL	NULL	20368	59.0	0.3940	0.0010	4	0.235	NULL	1.984	0.005	-99.000	-99.000
5	5-B-3766	2.748	0.002	2.322	0.005	1.065	0.002	2.046	0.005	2.584	0.005	0.123	0.005	0.752	0.001	19772	19727	0.472	0.005	0.198	0.002	NULL	NULL	20369	NULL	0.7520	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.289	0.002
6	5-B-4067	2.047	0.002	1.872	0.005	0.836	0.002	1.520	0.005	-99.000	-99.000	-99.000	-99.000	0.635	0.001	19772	19727	0.491	0.005	0.224	0.002	NULL	NULL	20368	88.2	0.6350	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.403	0.002
7	5-C-4036	2.124	0.002	1.860	0.005	1.060	0.002	1.502	0.005	1.953	0.005	0.125	0.005	0.710	0.001	19772	19727	0.476	0.005	0.132	0.002	NULL	NULL	20368	87.1	0.7100	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.306	0.002
8	5-C-4039	2.748	0.002	2.270	0.005	1.320	0.002	2.035	0.005	2.580	0.005	0.121	0.005	0.865	0.001	19772	19727	0.650	0.005	0.210	0.002	NULL	NULL	20368	198.4	0.8650	0.0010	-99	-99.000	NULL	1.900	0.005	0.479	0.002
9	5-C-5337	2.122	0.002	1.845	0.005	1.066	0.002	1.496	0.005	1.955	0.005	0.126	0.005	0.630	0.001	19772	19724	0.466	0.005	0.134	0.002	NULL	NULL	20368	81.3	0.6300	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.294	0.002
10	5-C-5687	2.122	0.002	1.800	0.005	1.005	0.002	1.496	0.005	1.955	0.005	0.130	0.005	0.500	0.001	19772	19724	0.554	0.005	0.134	0.002	NULL	NULL	20368	99.4	0.5000	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.376	0.002
11	5-C-5696	1.498	0.002	1.250	0.005	0.815	0.002	1.094	0.005	1.394	0.005	0.103	0.005	0.436	0.001	19772	19724	0.325	0.005	0.150	0.002	NULL	NULL	20368	25.3	0.4360	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.243	0.002
12	5-C-5704	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0.005	NULL	0.005	NULL	NULL	NULL	NULL	NULL	0.005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
13	5-D-3551	1.840	0.002	1.414	0.005	0.589	0.002	-99.000	-99.000	1.315	0.005	0.079	0.005	0.394	0.001	19772	19726	0.411	0.005	0.060	0.002	NULL	NULL	20369	25.5	0.3940	0.0010	2	0.126	NULL	1.662	0.005	-99.000	-99.000
14	5-D-3884	1.840	0.002	1.414	0.005	0.589	0.002	-99.000	-99.000	1.315	0.005	0.079	0.005	0.394	0.001	19772	19726	0.362	0.005	0.060	0.002	NULL	NULL	20369	24.1	0.3940	0.0010	2	0.126	NULL	-99.000	-99.000	-99.000	-99.000
15	5-D-3889	1.840	0.002	1.415	0.005	0.560	0.002	-99.000	-99.000	1.315	0.005	0.079	0.005	0.394	0.001	19772	19726	0.420	0.005	0.060	0.002	NULL	NULL	20369	23.6	0.3940	0.0010	2	0.126	NULL	1.500	0.005	-99.000	-99.000
16	5-D-4104	1.840	0.002	1.415	0.005	0.549	0.002	-99.000	-99.000	1.315	0.005	0.079	0.005	0.394	0.001	19772	19726	0.362	0.005	0.045	0.002	NULL	NULL	20368	21.1	0.3940	0.0010	2	0.126	NULL	-99.000	-99.000	-99.000	-99.000
17	5-D-4916	1.840	0.002	1.415	0.005	0.550	0.002	-99.000	-99.000	1.315	0.005	0.079	0.005	0.394	0.001	19772	19726	0.412	0.005	0.045	0.002	NULL	NULL	20368	22.4	0.3940	0.0010	2	0.130	NULL	1.658	0.005	-99.000	-99.000
18	5-D-5574	2.557	0.002	-99.000	-99.000	1.395	0.002	1.982	0.005	2.384	0.005	0.136	0.005	0.630	0.001	19772	19724	0.394	0.005	0.110	0.002	NULL	NULL	20368	138.7	0.6300	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.300	0.002
19	5-D-5620	1.840	0.002	1.415	0.005	0.590	0.002	-99.000	-99.000	1.310	0.005	0.079	0.005	0.394	0.001	19772	19726	0.418	0.005	0.060	0.002	NULL	NULL	20369	24.0	0.3940	0.0010	2	0.128	NULL	1.343	0.005	-99.000	-99.000
20	5-E-0147	1.572	0.002	-99.000	-99.000	0.640	0.002	1.025	0.005	-99.000	-99.000	-99.000	-99.000	0.394	0.001	19772	19727	0.421	0.005	0.255	0.002	NULL	NULL	20369	41.7	0.3940	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.306	0.002
21	5-E-0151	1.570	0.002	-99.000	-99.000	0.628	0.002	1.020	0.005	-99.000	-99.000	-99.000	-99.000	0.490	0.001	19772	19724	0.418	0.005	0.241	0.002	NULL	NULL	20369	41.2	0.4900	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.306	0.002
22	5-E-1106	1.966	0.002	-99.000	-99.000	0.804	0.002	1.340	0.005	-99.000	-99.000	-99.000	-99.000	0.489	0.001	19772	19727	0.424	0.005	0.250	0.002	NULL	NULL	20369	76.9	0.4890	0.0010	-99	-99.000	NULL	-99.000	-99.000	0.306	0.002
