id	part	cd_max_thickness_a	cd_min_thickness_a	cd_od_b	cd_od_b_tol	cd_id_c	cd_id_c_tol	cd_num_ramps_te	cd_num_ramps_ce	cd_degrees_of_ramps	cd_te_ramp_dia_d	cd_te_ramp_dia_d_tol	cd_ce_ramp_dia_e	cd_ce_ramp_dia_e_tol	cd_te_ramp_drain_dia_f	cd_te_ramp_drain_dia_f_tol	cd_ce_ramp_drain_dia_g	cd_ce_ramp_drain_dia_g_tol	cd_material	cd_weight	cd_num_locating_holes	cd_dia_locating_holes	cd_rotation	cd_diagram_
1	8-A-0198	0.0925	0.0915	1.377	0.005	0.692	0.005	1	0	360	0.870	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	20393	NULL	2	0.105	20335	NULL
2	8-A-0207	0.0920	0.0910	1.600	0.005	0.904	0.005	0	0	-99	0.000	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	20394	NULL	2	0.100	20335	NULL
3	8-A-0240	0.1725	0.1715	1.678	0.005	0.428	0.005	3	3	270	0.700	0.005	NULL	0.005	0.830	0.005	0.830	0.005	20390	NULL	2	0.115	20336	NULL
4	8-A-0261	0.0920	0.0910	1.378	0.005	0.687	0.005	3	0	360	1.078	0.005	-99.000	0.005	-99.000	0.005	-99.000	0.005	20395	NULL	2	0.102	20336	NULL
5	8-A-0486	0.1190	0.1180	1.472	0.005	0.382	0.005	3	3	270	0.582	0.005	0.582	0.005	0.708	0.005	0.708	0.005	20393	NULL	3	0.177	20336	NULL
6	8-A-1206	0.0905	0.0895	1.491	0.005	0.793	0.005	0	3	360	NULL	0.005	1.368	0.005	-99.000	0.005	-99.000	0.005	20393	NULL	3	0.080	20337	NULL
7	8-A-1209	NULL	0.1715	2.120	0.005	0.578	0.005	3	3	270	0.968	0.005	0.968	0.005	1.062	0.005	1.062	0.005	20393	NULL	3	0.180	20336	NULL
8	8-A-1511	0.1730	0.1720	1.680	0.005	0.425	0.005	3	3	270	0.708	0.005	0.708	0.005	0.828	0.005	0.828	0.005	20393	NULL	2	0.116	20336	NULL
9	8-A-1562	0.1730	0.1720	1.682	0.005	0.500	0.005	3	3	270	0.750	0.005	0.750	0.005	0.870	0.005	0.870	0.005	20390	NULL	4	0.100	20336	NULL
10	8-A-1826	0.1190	0.1180	1.472	0.005	0.377	0.005	6	6	360	0.630	0.005	0.630	0.005	-99.000	0.005	-99.000	0.005	20390	NULL	3	0.189	20336	NULL
