id	part	cd_a_length_across_thrust_bearing	cd_a_length_across_thrust_bearing_tol	cd_b_oal	cd_b_oal_tol	cd_c_te_thrust_dia	cd_c_te_thrust_dia_tol	cd_d_ce_thrust_dia	cd_d_ce_thrust_dia_tol	cd_e_bore_dia	cd_e_bore_dia_tol	cd_f_piston_ring_groove_1_major_dia	cd_f_piston_ring_groove_1_major_dia_tol	cd_g_piston_ring_groove_1_minor_dia	cd_g_piston_ring_groove_1_minor_dia_tol	cd_h_piston_ring_groove_1_width	cd_h_piston_ring_groove_1_width_tol	cd_k_piston_ring_groove_2_major_dia	cd_k_piston_ring_groove_2_major_dia_tol	cd_l_piston_ring_groove_2_minor_dia	cd_l_piston_ring_groove_2_minor_dia_tol	cd_m_piston_ring_groove_2_width	cd_m_piston_ring_groove_2_width_tol	cd_i_ce_flinger_dia	cd_j_te_flinger_dia	cd_num_flinger_holes_ce_row	cd_dia_flinger_holes_ce_row	cd_num_flinger_holes_te_row	cd_dia_flinger_holes_te_row	cd_material	cd_weight	cd_diagram_
1	8-A-0290	0.1747	0.0005	0.3187	0.0050	0.718	0.005	0.718	0.005	0.2500	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
2	8-A-0319	0.1760	0.0005	0.3000	0.0050	0.980	0.005	0.980	0.005	0.3127	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
3	8-A-0342	0.1205	0.0005	0.2240	0.0050	0.588	0.005	0.588	0.005	0.2365	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
4	8-A-0349	0.1755	0.0005	0.5360	0.0050	0.978	0.005	0.978	0.005	0.3743	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	1
5	8-A-0354	0.1210	0.0005	0.6280	0.0050	0.627	0.005	0.627	0.005	0.2364	0.0005	0.485	0.003	0.408	0.005	0.065	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.802	-99.000	6	0.096	-99	-99.000	20398	NULL	1
6	8-A-0355	0.1770	0.0005	0.7230	0.0050	0.718	0.005	0.718	0.005	0.2506	0.0005	0.485	0.003	0.408	0.005	0.065	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.990	0.800	8	0.070	8	0.075	20398	NULL	1
7	8-A-1213	0.1745	0.0005	NULL	0.0050	0.716	0.005	0.720	0.005	0.2504	0.0005	0.485	0.003	0.407	0.005	0.065	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.990	0.800	8	0.078	8	0.078	20398	NULL	1
8	8-A-1275	0.1745	0.0005	0.7230	0.0050	0.987	0.005	0.982	0.005	0.3126	0.0005	0.672	0.003	0.606	0.005	0.070	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.200	1.022	8	0.078	8	0.078	20398	NULL	1
9	8-A-1563	0.1770	0.0005	0.7240	0.0050	0.772	0.005	0.772	0.005	0.3156	0.0005	0.578	0.003	0.488	0.005	0.065	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.045	0.850	8	0.070	8	0.075	20398	NULL	1
10	8-A-1824	0.1210	0.0005	0.5830	0.0050	-99.000	0.005	0.628	0.005	0.2363	0.0005	0.485	0.003	0.407	0.005	0.066	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.802	-99.000	6	0.095	-99	-99.000	20398	NULL	1
11	8-A-1896	0.1740	0.0005	0.6600	0.0050	-99.000	0.005	0.799	0.005	0.2500	0.0005	0.485	0.003	0.407	0.005	0.066	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	0.987	0.799	8	0.078	8	0.078	20398	NULL	1
12	8-A-1939	0.1200	0.0005	0.1660	0.0050	0.616	0.005	-99.000	0.005	0.2009	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	NULL
13	8-A-1955	0.1760	0.0005	0.5380	0.0050	0.978	0.005	0.985	0.005	0.3746	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.398	0.998	6	0.060	12	0.065	20398	NULL	1
14	8-A-2053	0.1745	0.0005	0.8220	0.0050	0.894	0.005	0.898	0.005	0.2953	0.0005	0.548	0.003	0.467	0.005	0.065	0.001	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	1.169	0.918	8	0.078	8	0.078	20398	NULL	1
15	8-A-2057	0.1780	0.0005	0.3100	0.0050	0.900	0.005	0.900	0.005	0.2965	0.0005	-99.000	0.003	-99.000	0.005	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
