id	part	cd_a_oal	cd_a_oal_tol	cd_b_thrust_dia	cd_b_thrust_dia_tol	cd_c_bore_dia	cd_c_bore_dia_tol	cd_d_piston_ring_groove_1_major_dia	cd_d_piston_ring_groove_1_major_dia_tol	cd_e_piston_ring_groove_1_minor_dia	cd_e_piston_ring_groove_1_minor_dia_tol	cd_f_piston_ring_groove_1_width	cd_f_piston_ring_groove_1_width_tol	cd_g_piston_ring_groove_2_major_dia	cd_g_piston_ring_groove_2_major_dia_tol	cd_h_piston_ring_groove_2_minor_dia	cd_h_piston_ring_groove_2_minor_dia_tol	cd_i_piston_ring_groove_2_width	cd_i_piston_ring_groove_2_width_tol	cd_j_ce_flinger_dia	cd_k_te_flinger_dia	cd_num_flinger_holes_ce_row	cd_dia_flinger_holes_ce_row	cd_num_flinger_holes_te_row	cd_dia_flinger_holes_te_row	cd_material	cd_weight	cd_diagram_
1	8-A-0028	0.3000	0.0050	1.120	0.005	0.3758	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	1.400	1.000	12	0.063	12	0.063	20398	NULL	4
2	8-A-0029	0.3000	0.0050	1.120	0.005	0.3140	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	1.400	1.000	12	0.063	12	0.063	20398	NULL	4
3	8-A-0193	0.3000	0.0050	1.120	0.005	0.4395	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	1.400	1.000	12	0.063	12	0.063	20398	NULL	4
4	8-A-0209	0.3000	0.0050	1.399	0.005	0.4392	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	1.400	-99.000	8	0.125	-99	-99.000	20398	NULL	4
5	8-A-0248	0.4040	0.0050	0.528	0.005	0.2502	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
6	8-A-0263	0.6510	0.0050	0.861	0.005	0.4395	0.0005	0.672	0.003	0.606	0.005	0.070	0.005	0.672	0.003	0.606	0.005	0.070	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	8
7	8-A-0265	0.5170	0.0050	NULL	0.005	0.3768	0.0005	0.672	0.003	0.606	0.005	0.070	0.005	0.672	0.003	0.606	0.005	0.070	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
8	8-A-0266	0.4870	0.0050	0.672	0.005	0.3757	0.0005	0.672	0.003	0.606	0.005	0.071	0.005	0.672	0.003	0.606	0.005	0.071	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
9	8-A-0267	0.5170	0.0050	0.672	0.005	0.3140	0.0005	0.672	0.003	0.606	0.005	0.070	0.005	0.672	0.003	0.606	0.005	0.070	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
10	8-A-0317	0.4040	0.0050	0.525	0.005	0.2364	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	NULL	-99	-99.000	-99	-99.000	20398	NULL	3
11	8-A-0320	0.4250	0.0050	0.672	0.005	0.3127	0.0005	0.672	0.003	0.606	0.005	0.070	0.005	0.672	0.003	0.606	0.005	0.070	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
12	8-A-0348	0.4250	0.0050	0.672	0.005	0.3743	0.0005	0.672	0.003	0.606	0.005	0.070	0.005	0.672	0.003	0.606	0.005	0.070	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
13	8-A-1857	0.4070	0.0050	0.566	0.005	0.2008	0.0005	0.353	0.003	0.282	0.005	0.034	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
14	8-A-2129	0.4860	0.0050	0.855	0.005	0.3127	0.0005	0.576	0.003	480.000	0.005	0.063	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	1
15	8-A-2192	0.3360	0.0050	0.617	0.005	0.2008	0.0005	0.353	0.003	0.282	0.005	0.034	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
16	8-A-2193	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
17	8-A-2503	0.2700	0.0050	-99.000	0.005	0.5317	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
18	8-A-2618	0.3360	0.0050	0.476	0.005	0.2003	0.0005	0.353	0.003	0.282	0.005	0.034	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
19	8-A-3016	0.3360	0.0050	0.617	0.005	0.2008	0.0005	0.378	0.003	0.304	0.005	0.057	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
20	8-A-3143	0.4900	0.0050	0.801	0.005	0.2485	0.0005	0.485	0.003	0.408	0.005	0.060	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	1
21	8-A-3509	0.3360	0.0050	0.476	0.005	0.2003	0.0005	0.378	0.003	0.304	0.005	0.058	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
22	8-A-4264	0.5800	0.0050	1.000	0.005	0.2953	0.0005	0.548	0.003	0.467	0.005	0.065	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	1
23	8-A-4731	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
24	8-A-5204	0.3380	0.0050	0.474	0.005	0.2003	0.0005	0.377	0.003	0.298	0.005	0.058	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
25	8-A-5208	0.3230	0.0050	0.473	0.005	0.1603	0.0005	0.473	0.003	0.383	0.005	0.048	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
26	8-A-5633	0.2920	0.0050	0.354	0.005	0.2003	0.0005	0.378	0.003	0.303	0.005	0.057	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
27	8-A-6103	0.5800	0.0050	1.000	0.005	0.2953	0.0005	0.548	0.003	0.467	0.005	0.065	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	1
28	8-A-6117	0.2850	0.0050	1.022	0.005	0.3255	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	4
29	8-B-0098	0.5090	0.0050	1.085	0.005	0.4380	0.0005	0.720	0.003	0.620	0.005	0.065	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	1
30	8-B-1584	0.4050	0.0050	0.627	0.005	0.4383	0.0005	0.845	0.003	0.738	0.005	0.127	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
31	8-B-3763	0.4310	0.0050	0.706	0.005	0.2763	0.0005	0.609	0.003	0.523	0.005	0.064	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
32	8-B-3764	0.5090	0.0050	1.080	0.005	0.4383	0.0005	0.722	0.003	0.622	0.005	0.065	0.005	0.722	0.003	0.622	0.005	0.065	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	8
33	8-B-3767	0.4700	0.0050	0.773	0.005	0.3153	0.0005	0.609	0.003	0.523	0.005	0.065	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
34	8-B-3769	0.4700	0.0050	0.773	0.005	0.2763	0.0005	0.609	0.003	0.523	0.005	0.065	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
35	8-B-5960	0.4700	0.0050	0.775	0.005	0.3156	0.0005	0.609	0.003	0.523	0.005	0.068	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
36	8-B-6206	0.4700	0.0050	0.775	0.005	0.3156	0.0005	0.609	0.003	0.523	0.005	0.068	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	1
37	8-C-0066	0.5180	0.0050	0.875	0.005	0.3132	0.0005	0.600	0.003	0.495	0.005	0.064	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
38	8-C-1248	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
39	8-C-1366	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
40	8-C-1367	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
41	8-C-4129	0.3500	0.0050	0.549	0.005	0.3154	0.0005	0.690	0.003	0.566	0.005	0.065	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
42	8-C-4130	0.4380	0.0050	0.621	0.005	0.3950	0.0005	0.847	0.003	0.703	0.005	0.081	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
43	8-C-4191	0.3430	0.0050	0.432	0.005	0.2763	0.0005	0.612	0.003	0.485	0.005	0.061	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
44	8-C-5688	0.3010	0.0050	0.726	0.005	0.2762	0.0005	0.480	0.003	0.408	0.005	0.065	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
45	8-C-5699	0.2880	0.0050	0.719	0.005	0.2368	0.0005	0.420	0.003	0.342	0.005	0.048	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
46	8-D-1361	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
47	8-D-2286	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
48	8-D-2532	0.3420	0.0050	0.569	0.005	0.2130	0.0005	0.523	0.003	0.460	0.005	0.057	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
49	8-D-3116	0.2700	0.0050	-99.000	0.005	0.2130	0.0005	0.528	0.003	0.436	0.005	0.058	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
50	8-D-5738	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
51	8-E-0121	0.4490	0.0050	0.549	0.005	0.1973	0.0005	0.374	0.003	0.308	0.005	0.041	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
52	8-E-0659	0.4490	0.0050	0.537	0.005	0.2566	0.0005	0.464	0.003	0.377	0.005	0.049	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
53	8-E-0745	0.4500	0.0050	0.710	0.005	0.2566	0.0005	0.465	0.003	0.377	0.005	0.049	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
54	8-E-1289	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
55	8-E-2785	0.4490	0.0050	0.421	0.005	0.1581	0.0005	0.298	0.003	0.250	0.005	0.032	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
56	8-E-2825	0.3510	0.0050	0.620	0.005	0.2768	0.0005	0.527	0.003	0.250	0.005	0.032	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
57	8-E-2895	0.4290	0.0050	0.848	0.005	0.3130	0.0005	0.606	0.003	0.500	0.005	0.064	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
58	8-E-2907	0.4290	0.0050	0.597	0.005	0.3134	0.0005	0.597	0.003	0.512	0.005	0.050	0.005	0.597	0.003	0.500	0.005	0.064	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
59	8-E-3720	0.3470	0.0050	0.537	0.005	0.2566	0.0005	0.464	0.003	0.377	0.005	0.049	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
60	8-E-4012	0.3820	0.0050	0.428	0.005	0.1973	0.0005	0.374	0.003	0.308	0.005	0.041	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
61	8-E-4481	0.3825	0.0050	0.421	0.005	0.1581	0.0005	0.298	0.003	0.250	0.005	0.032	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
62	8-F-0771	0.4120	0.0050	0.530	0.005	0.2013	0.0005	0.465	0.003	0.373	0.005	0.049	0.005	0.369	0.003	0.295	0.005	0.042	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	7
63	8-F-1589	0.4650	0.0050	0.797	0.005	0.3120	0.0005	0.606	0.003	0.527	0.005	0.064	0.005	0.525	0.003	0.446	0.005	0.056	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	7
64	8-F-1590	0.4730	0.0050	0.798	0.005	0.3117	0.0005	0.527	0.003	0.444	0.005	0.058	0.005	0.527	0.003	0.444	0.005	0.058	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	6
65	8-F-1698	0.4370	0.0050	0.670	0.005	0.2799	0.0005	0.525	0.003	0.435	0.005	0.057	0.005	0.463	0.003	0.372	0.005	0.048	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	7
66	8-F-1723	0.4340	0.0050	0.672	0.005	0.2638	0.0005	0.528	0.003	0.444	0.005	0.055	0.005	0.465	0.003	0.381	0.005	0.048	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	7
67	8-F-2431	0.4685	0.0050	0.670	0.005	0.2798	0.0005	0.525	0.003	0.444	0.005	0.057	0.005	0.463	0.003	0.381	0.005	0.048	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	7
68	8-F-2591	0.3450	0.0050	0.440	0.005	0.1737	0.0005	0.370	0.003	0.292	0.005	0.041	0.005	0.296	0.003	0.240	0.005	0.033	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	7
69	8-G-0030	0.3740	0.0050	0.785	0.005	0.2563	0.0005	0.474	0.003	0.391	0.005	0.049	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
70	8-G-0512	0.3750	0.0050	0.463	0.005	0.2563	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	3
71	8-G-3473	0.4470	0.0050	0.591	0.005	0.2012	0.0005	0.413	0.003	0.335	0.001	0.050	0.005	-99.000	0.003	-99.000	0.001	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	9
72	8-G-4732	0.2800	0.0050	0.628	0.005	0.2013	0.0005	0.411	0.003	0.355	0.005	0.050	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
73	8-G-4733	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
74	8-G-4734	0.2800	0.0050	0.552	0.005	0.1618	0.0005	0.373	0.003	0.296	0.005	0.050	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
75	8-G-4735	0.3750	0.0050	0.628	0.005	0.2248	0.0005	0.410	0.003	0.328	0.005	0.050	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
76	8-G-4736	0.2800	0.0050	0.628	0.005	0.2013	0.0005	0.411	0.003	0.335	0.005	0.050	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
77	8-G-4785	0.3750	0.0050	-99.000	0.005	0.2563	0.0005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	5
78	8-G-4786	0.4470	0.0050	0.592	0.005	0.2248	0.0005	0.413	0.003	0.335	0.005	0.050	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	9
79	8-G-4787	0.3390	0.0050	0.628	0.005	0.2013	0.0005	0.410	0.003	0.332	0.005	0.050	0.005	-99.000	0.003	-99.000	0.005	-99.000	0.005	-99.000	-99.000	-99	-99.000	-99	-99.000	20398	NULL	2
