id	part	cd_od	cd_od_tol	cd_id	cd_id_tol	cd_thickness	cd_thickness_tol	cd_material	cd_weight
1	8-A-1825	0.629	0.005	0.237	0.001	0.0445	0.0005	20398	NULL
2	8-A-1897	0.750	0.005	0.251	0.001	0.0635	0.0005	20398	NULL
3	8-A-1898	0.794	0.005	0.251	0.001	0.0635	0.0005	20398	NULL
4	8-A-2468	0.838	0.005	0.250	0.001	0.0605	0.0005	20398	NULL
5	8-A-2946	0.474	0.005	0.162	0.001	0.0590	0.0005	20398	NULL
6	8-A-4299	0.617	0.005	0.201	0.001	0.0455	0.0005	20398	NULL
7	8-A-5206	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
8	8-A-5207	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
9	8-A-6113	0.472	0.005	0.200	0.001	0.0455	0.0005	20398	NULL
10	8-B-0052	1.145	0.005	0.439	0.001	0.1005	0.0005	20398	NULL
11	8-B-0078	0.876	0.005	0.314	0.001	0.0895	0.0005	20398	NULL
12	8-C-1368	0.748	0.005	0.454	0.001	0.0480	0.0005	20398	NULL
13	8-C-1728	0.946	0.005	0.315	0.001	0.1005	0.0005	20398	NULL
14	8-C-1915	0.723	0.005	0.259	0.001	0.0905	0.0005	20398	NULL
15	8-C-3525	0.723	0.005	0.277	0.001	0.0905	0.0005	20398	NULL
16	8-C-5690	0.725	0.005	0.276	0.001	0.0910	0.0005	20398	NULL
17	8-C-6211	0.800	0.005	0.276	0.001	0.0595	0.0005	20398	NULL
18	8-D-1586	0.764	0.005	0.275	0.001	0.0585	0.0005	20398	NULL
19	8-D-2283	0.472	0.005	0.182	0.001	0.0580	0.0005	20398	NULL
20	8-D-2534	0.570	0.005	0.213	0.001	0.0600	0.0005	20398	NULL
21	8-D-3547	0.519	0.005	0.162	0.001	0.0465	0.0005	20398	NULL
22	8-D-5581	1.030	0.005	0.313	0.001	0.1025	0.0005	20398	NULL
23	8-D-5732	0.767	0.005	0.276	0.001	0.0585	0.0005	20398	NULL
24	8-D-5739	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
25	8-E-2908	0.768	0.005	0.313	0.001	0.0970	0.0005	20398	NULL
26	8-F-3561	0.786	0.005	0.304	0.001	0.1175	0.0005	20398	NULL
27	8-F-3689	0.575	0.005	0.201	0.001	0.0710	0.0005	20398	NULL
28	8-F-3894	0.490	0.005	0.174	0.001	0.0710	0.0005	20398	NULL
29	8-F-4244	0.677	0.005	0.240	0.001	0.0861	0.0005	20398	NULL
30	9-Z-9999	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
